anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,6,Buenos Aires,1,Homicidios dolosos,1496,1500.0
2014,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,801,903.0
2014,6,Buenos Aires,3,Muertes en Accidentes Viales,689,1073.0
2014,6,Buenos Aires,10,Violaciones,797,872.0
2014,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),87215,
2014,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,1660,
2014,6,Buenos Aires,19,Hurtos,55526,
2014,6,Buenos Aires,31,Suicidios (consumados),897,
2015,6,Buenos Aires,1,Homicidios dolosos,1209,1240.0
2015,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,724,782.0
2015,6,Buenos Aires,3,Muertes en Accidentes Viales,711,991.0
2015,6,Buenos Aires,10,Violaciones,669,747.0
2015,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),80881,
2015,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,822,
2015,6,Buenos Aires,19,Hurtos,52057,
2015,6,Buenos Aires,31,Suicidios (consumados),812,
2016,6,Buenos Aires,1,Homicidios dolosos,1150,1150.0
2016,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,760,818.0
2016,6,Buenos Aires,3,Muertes en Accidentes Viales,999,1007.0
2016,6,Buenos Aires,10,Violaciones,1185,1185.0
2016,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),80833,
2016,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,771,
2016,6,Buenos Aires,19,Hurtos,53528,
2016,6,Buenos Aires,31,Suicidios (consumados),767,
2017,6,Buenos Aires,1,Homicidios dolosos,948,990.0
2017,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,791,890.0
2017,6,Buenos Aires,3,Muertes en Accidentes Viales,1044,1142.0
2017,6,Buenos Aires,10,Violaciones,1264,1264.0
2017,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),81094,
2017,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,978,
2017,6,Buenos Aires,19,Hurtos,52484,
2017,6,Buenos Aires,31,Suicidios (consumados),1029,1032.0
2018,6,Buenos Aires,1,Homicidios dolosos,951,992.0
2018,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,771,846.0
2018,6,Buenos Aires,3,Muertes en Accidentes Viales,1148,1269.0
2018,6,Buenos Aires,10,Violaciones,1346,1346.0
2018,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),93590,
2018,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,1443,
2018,6,Buenos Aires,19,Hurtos,63471,
2018,6,Buenos Aires,31,Suicidios (consumados),1393,1393.0
2019,6,Buenos Aires,1,Homicidios dolosos,877,903.0
2019,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,827,909.0
2019,6,Buenos Aires,3,Muertes en Accidentes Viales,938,1087.0
2019,6,Buenos Aires,10,Violaciones,1825,1825.0
2019,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),143840,
2019,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,2022,
2019,6,Buenos Aires,19,Hurtos,98805,
2019,6,Buenos Aires,31,Suicidios (consumados),999,999.0
2020,6,Buenos Aires,1,Homicidios dolosos,915,931.0
2020,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,757,836.0
2020,6,Buenos Aires,3,Muertes en Accidentes Viales,671,712.0
2020,6,Buenos Aires,10,Violaciones,1921,1922.0
2020,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),105756,
2020,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,1393,
2020,6,Buenos Aires,19,Hurtos,67285,
2020,6,Buenos Aires,31,Suicidios (consumados),850,850.0
2021,6,Buenos Aires,1,Homicidios dolosos,813,838.0
2021,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,736,816.0
2021,6,Buenos Aires,3,Muertes en Accidentes Viales,874,957.0
2021,6,Buenos Aires,10,Violaciones,2594,2595.0
2021,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),104520,
2021,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,2145,
2021,6,Buenos Aires,19,Hurtos,72387,
2021,6,Buenos Aires,31,Suicidios (consumados),1062,1062.0
