anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,22,Chaco,1,Homicidios dolosos,78,81.0
2014,22,Chaco,2,Homicidios dolosos en grado de tentativa,33,34.0
2014,22,Chaco,3,Muertes en Accidentes Viales,167,175.0
2014,22,Chaco,10,Violaciones,129,133.0
2014,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),7740,
2014,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,1,
2014,22,Chaco,19,Hurtos,9783,
2014,22,Chaco,31,Suicidios (consumados),64,
2015,22,Chaco,1,Homicidios dolosos,63,63.0
2015,22,Chaco,2,Homicidios dolosos en grado de tentativa,33,35.0
2015,22,Chaco,3,Muertes en Accidentes Viales,159,169.0
2015,22,Chaco,10,Violaciones,145,153.0
2015,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5755,
2015,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2015,22,Chaco,19,Hurtos,7197,
2015,22,Chaco,31,Suicidios (consumados),69,
2016,22,Chaco,1,Homicidios dolosos,69,70.0
2016,22,Chaco,2,Homicidios dolosos en grado de tentativa,32,37.0
2016,22,Chaco,3,Muertes en Accidentes Viales,138,152.0
2016,22,Chaco,10,Violaciones,93,96.0
2016,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5998,
2016,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2016,22,Chaco,19,Hurtos,7945,
2016,22,Chaco,31,Suicidios (consumados),87,
2017,22,Chaco,1,Homicidios dolosos,59,61.0
2017,22,Chaco,2,Homicidios dolosos en grado de tentativa,40,46.0
2017,22,Chaco,3,Muertes en Accidentes Viales,166,184.0
2017,22,Chaco,10,Violaciones,71,71.0
2017,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5624,
2017,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2017,22,Chaco,19,Hurtos,7832,
2017,22,Chaco,31,Suicidios (consumados),100,100.0
2018,22,Chaco,1,Homicidios dolosos,52,54.0
2018,22,Chaco,2,Homicidios dolosos en grado de tentativa,29,36.0
2018,22,Chaco,3,Muertes en Accidentes Viales,184,192.0
2018,22,Chaco,10,Violaciones,83,84.0
2018,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6221,
2018,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2018,22,Chaco,19,Hurtos,8811,
2018,22,Chaco,31,Suicidios (consumados),108,108.0
2019,22,Chaco,1,Homicidios dolosos,68,69.0
2019,22,Chaco,2,Homicidios dolosos en grado de tentativa,43,47.0
2019,22,Chaco,3,Muertes en Accidentes Viales,142,159.0
2019,22,Chaco,10,Violaciones,78,79.0
2019,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5937,
2019,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,1,
2019,22,Chaco,19,Hurtos,7937,
2019,22,Chaco,31,Suicidios (consumados),90,90.0
2020,22,Chaco,1,Homicidios dolosos,105,106.0
2020,22,Chaco,2,Homicidios dolosos en grado de tentativa,35,44.0
2020,22,Chaco,3,Muertes en Accidentes Viales,136,147.0
2020,22,Chaco,10,Violaciones,87,90.0
2020,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4392,
2020,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,1,
2020,22,Chaco,19,Hurtos,5899,
2020,22,Chaco,31,Suicidios (consumados),102,102.0
2021,22,Chaco,1,Homicidios dolosos,61,64.0
2021,22,Chaco,2,Homicidios dolosos en grado de tentativa,34,36.0
2021,22,Chaco,3,Muertes en Accidentes Viales,173,191.0
2021,22,Chaco,10,Violaciones,107,110.0
2021,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4416,
2021,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2021,22,Chaco,19,Hurtos,6874,
2021,22,Chaco,31,Suicidios (consumados),105,105.0
