anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,82,Santa Fe,1,Homicidios dolosos,438,444.0
2014,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,154,167.0
2014,82,Santa Fe,3,Muertes en Accidentes Viales,420,596.0
2014,82,Santa Fe,10,Violaciones,246,249.0
2014,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),46175,
2014,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,826,
2014,82,Santa Fe,19,Hurtos,12458,
2014,82,Santa Fe,31,Suicidios (consumados),330,
2015,82,Santa Fe,1,Homicidios dolosos,402,413.0
2015,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,156,162.0
2015,82,Santa Fe,3,Muertes en Accidentes Viales,406,471.0
2015,82,Santa Fe,10,Violaciones,239,276.0
2015,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),47603,
2015,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,950,
2015,82,Santa Fe,19,Hurtos,12126,
2015,82,Santa Fe,31,Suicidios (consumados),335,
2016,82,Santa Fe,1,Homicidios dolosos,357,367.0
2016,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,144,154.0
2016,82,Santa Fe,3,Muertes en Accidentes Viales,354,399.0
2016,82,Santa Fe,10,Violaciones,214,234.0
2016,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),46161,
2016,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,941,
2016,82,Santa Fe,19,Hurtos,12496,
2016,82,Santa Fe,31,Suicidios (consumados),346,
2017,82,Santa Fe,1,Homicidios dolosos,292,306.0
2017,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,140,159.0
2017,82,Santa Fe,3,Muertes en Accidentes Viales,366,433.0
2017,82,Santa Fe,10,Violaciones,183,273.0
2017,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),40488,
2017,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,519,
2017,82,Santa Fe,19,Hurtos,12409,
2017,82,Santa Fe,31,Suicidios (consumados),390,390.0
2018,82,Santa Fe,1,Homicidios dolosos,337,357.0
2018,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,138,156.0
2018,82,Santa Fe,3,Muertes en Accidentes Viales,366,409.0
2018,82,Santa Fe,10,Violaciones,233,257.0
2018,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),44656,
2018,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,356,
2018,82,Santa Fe,19,Hurtos,13988,
2018,82,Santa Fe,31,Suicidios (consumados),368,368.0
2019,82,Santa Fe,1,Homicidios dolosos,325,341.0
2019,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,82,95.0
2019,82,Santa Fe,3,Muertes en Accidentes Viales,334,393.0
2019,82,Santa Fe,10,Violaciones,165,167.0
2019,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),45087,
2019,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,334,
2019,82,Santa Fe,19,Hurtos,14579,
2019,82,Santa Fe,31,Suicidios (consumados),360,360.0
2020,82,Santa Fe,1,Homicidios dolosos,350,373.0
2020,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,115,129.0
2020,82,Santa Fe,3,Muertes en Accidentes Viales,270,305.0
2020,82,Santa Fe,10,Violaciones,580,604.0
2020,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),35780,
2020,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,236,
2020,82,Santa Fe,19,Hurtos,11364,
2020,82,Santa Fe,31,Suicidios (consumados),328,328.0
2021,82,Santa Fe,1,Homicidios dolosos,336,359.0
2021,82,Santa Fe,2,Homicidios dolosos en grado de tentativa,132,149.0
2021,82,Santa Fe,3,Muertes en Accidentes Viales,314,348.0
2021,82,Santa Fe,10,Violaciones,742,788.0
2021,82,Santa Fe,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),38645,
2021,82,Santa Fe,17,Robos agravados por el resultado de lesiones y/o muertes ,253,
2021,82,Santa Fe,19,Hurtos,13442,
2021,82,Santa Fe,31,Suicidios (consumados),321,321.0
