anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,86,Santiago del Estero,1,Homicidios dolosos,20,23.0
2014,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,55,63.0
2014,86,Santiago del Estero,3,Muertes en Accidentes Viales,87,112.0
2014,86,Santiago del Estero,10,Violaciones,224,230.0
2014,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),2617,
2014,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,77,
2014,86,Santiago del Estero,19,Hurtos,3068,
2014,86,Santiago del Estero,31,Suicidios (consumados),34,
2015,86,Santiago del Estero,1,Homicidios dolosos,33,35.0
2015,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,82,92.0
2015,86,Santiago del Estero,3,Muertes en Accidentes Viales,94,111.0
2015,86,Santiago del Estero,10,Violaciones,64,65.0
2015,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4471,
2015,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,14,
2015,86,Santiago del Estero,19,Hurtos,4908,
2015,86,Santiago del Estero,31,Suicidios (consumados),83,
2016,86,Santiago del Estero,1,Homicidios dolosos,32,35.0
2016,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,83,92.0
2016,86,Santiago del Estero,3,Muertes en Accidentes Viales,212,254.0
2016,86,Santiago del Estero,10,Violaciones,97,100.0
2016,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5664,
2016,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,7,
2016,86,Santiago del Estero,19,Hurtos,6036,
2016,86,Santiago del Estero,31,Suicidios (consumados),72,
2017,86,Santiago del Estero,1,Homicidios dolosos,31,37.0
2017,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,65,73.0
2017,86,Santiago del Estero,3,Muertes en Accidentes Viales,255,300.0
2017,86,Santiago del Estero,10,Violaciones,84,84.0
2017,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),7816,
2017,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,8,
2017,86,Santiago del Estero,19,Hurtos,7995,
2017,86,Santiago del Estero,31,Suicidios (consumados),112,113.0
2018,86,Santiago del Estero,1,Homicidios dolosos,37,37.0
2018,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,70,81.0
2018,86,Santiago del Estero,3,Muertes en Accidentes Viales,238,274.0
2018,86,Santiago del Estero,10,Violaciones,103,105.0
2018,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),9092,
2018,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,7,
2018,86,Santiago del Estero,19,Hurtos,9066,
2018,86,Santiago del Estero,31,Suicidios (consumados),118,118.0
2019,86,Santiago del Estero,1,Homicidios dolosos,47,48.0
2019,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,80,89.0
2019,86,Santiago del Estero,3,Muertes en Accidentes Viales,183,203.0
2019,86,Santiago del Estero,10,Violaciones,133,139.0
2019,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),9243,
2019,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,14,
2019,86,Santiago del Estero,19,Hurtos,9314,
2019,86,Santiago del Estero,31,Suicidios (consumados),136,136.0
2020,86,Santiago del Estero,1,Homicidios dolosos,37,37.0
2020,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,46,53.0
2020,86,Santiago del Estero,3,Muertes en Accidentes Viales,149,152.0
2020,86,Santiago del Estero,10,Violaciones,110,122.0
2020,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5675,
2020,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,13,
2020,86,Santiago del Estero,19,Hurtos,5835,
2020,86,Santiago del Estero,31,Suicidios (consumados),119,119.0
2021,86,Santiago del Estero,1,Homicidios dolosos,30,32.0
2021,86,Santiago del Estero,2,Homicidios dolosos en grado de tentativa,76,77.0
2021,86,Santiago del Estero,3,Muertes en Accidentes Viales,160,179.0
2021,86,Santiago del Estero,10,Violaciones,106,108.0
2021,86,Santiago del Estero,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6036,
2021,86,Santiago del Estero,17,Robos agravados por el resultado de lesiones y/o muertes ,473,
2021,86,Santiago del Estero,19,Hurtos,5798,
2021,86,Santiago del Estero,31,Suicidios (consumados),98,98.0
