anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1,Homicidios dolosos,6,6.0
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,Homicidios dolosos en grado de tentativa,4,4.0
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,Muertes en Accidentes Viales,9,13.0
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Violaciones,21,21.0
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),831,
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",17,Robos agravados por el resultado de lesiones y/o muertes ,4,
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",19,Hurtos,929,
2014,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",31,Suicidios (consumados),12,
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1,Homicidios dolosos,3,3.0
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,Homicidios dolosos en grado de tentativa,0,0.0
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,Muertes en Accidentes Viales,5,6.0
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Violaciones,10,10.0
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),715,
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",17,Robos agravados por el resultado de lesiones y/o muertes ,5,
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",19,Hurtos,883,
2015,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",31,Suicidios (consumados),11,
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1,Homicidios dolosos,3,3.0
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,Homicidios dolosos en grado de tentativa,1,1.0
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,Muertes en Accidentes Viales,8,11.0
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Violaciones,7,7.0
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),751,
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",17,Robos agravados por el resultado de lesiones y/o muertes ,3,
