anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,2,Ciudad Autónoma de Buenos Aires,1,Homicidios dolosos,185,200.0
2014,2,Ciudad Autónoma de Buenos Aires,2,Homicidios dolosos en grado de tentativa,54,68.0
2014,2,Ciudad Autónoma de Buenos Aires,3,Muertes en Accidentes Viales,82,102.0
2014,2,Ciudad Autónoma de Buenos Aires,10,Violaciones,267,291.0
2014,2,Ciudad Autónoma de Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),75685,
2014,2,Ciudad Autónoma de Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,166,
2014,2,Ciudad Autónoma de Buenos Aires,19,Hurtos,48317,
2014,2,Ciudad Autónoma de Buenos Aires,31,Suicidios (consumados),185,
2014,6,Buenos Aires,1,Homicidios dolosos,1496,1500.0
2014,6,Buenos Aires,2,Homicidios dolosos en grado de tentativa,801,903.0
2014,6,Buenos Aires,3,Muertes en Accidentes Viales,689,1073.0
2014,6,Buenos Aires,10,Violaciones,797,872.0
2014,6,Buenos Aires,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),87215,
2014,6,Buenos Aires,17,Robos agravados por el resultado de lesiones y/o muertes ,1660,
2014,6,Buenos Aires,19,Hurtos,55526,
2014,6,Buenos Aires,31,Suicidios (consumados),897,
2014,10,Catamarca,1,Homicidios dolosos,7,7.0
2014,10,Catamarca,2,Homicidios dolosos en grado de tentativa,2,2.0
2014,10,Catamarca,3,Muertes en Accidentes Viales,39,45.0
2014,10,Catamarca,10,Violaciones,12,12.0
2014,10,Catamarca,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6479,
2014,10,Catamarca,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2014,10,Catamarca,19,Hurtos,4288,
2014,10,Catamarca,31,Suicidios (consumados),39,
2014,14,Córdoba,1,Homicidios dolosos,135,148.0
2014,14,Córdoba,2,Homicidios dolosos en grado de tentativa,20,20.0
2014,14,Córdoba,3,Muertes en Accidentes Viales,379,450.0
2014,14,Córdoba,10,Violaciones,365,375.0
2014,14,Córdoba,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),63763,
2014,14,Córdoba,17,Robos agravados por el resultado de lesiones y/o muertes ,88,
2014,14,Córdoba,19,Hurtos,27272,
2014,14,Córdoba,31,Suicidios (consumados),448,
2014,18,Corrientes,1,Homicidios dolosos,21,21.0
2014,18,Corrientes,2,Homicidios dolosos en grado de tentativa,33,35.0
2014,18,Corrientes,3,Muertes en Accidentes Viales,115,166.0
2014,18,Corrientes,10,Violaciones,118,156.0
2014,18,Corrientes,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),7136,
2014,18,Corrientes,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2014,18,Corrientes,19,Hurtos,2797,
2014,18,Corrientes,31,Suicidios (consumados),57,
2014,22,Chaco,1,Homicidios dolosos,78,81.0
2014,22,Chaco,2,Homicidios dolosos en grado de tentativa,33,34.0
2014,22,Chaco,3,Muertes en Accidentes Viales,167,175.0
2014,22,Chaco,10,Violaciones,129,133.0
2014,22,Chaco,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),7740,
2014,22,Chaco,17,Robos agravados por el resultado de lesiones y/o muertes ,1,
2014,22,Chaco,19,Hurtos,9783,
2014,22,Chaco,31,Suicidios (consumados),64,
2014,26,Chubut,1,Homicidios dolosos,69,74.0
2014,26,Chubut,2,Homicidios dolosos en grado de tentativa,26,27.0
2014,26,Chubut,3,Muertes en Accidentes Viales,28,30.0
2014,26,Chubut,10,Violaciones,80,80.0
2014,26,Chubut,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5665,
2014,26,Chubut,17,Robos agravados por el resultado de lesiones y/o muertes ,20,
2014,26,Chubut,19,Hurtos,3107,
2014,26,Chubut,31,Suicidios (consumados),48,
2014,30,Entre Ríos,1,Homicidios dolosos,80,80.0
2014,30,Entre Ríos,2,Homicidios dolosos en grado de tentativa,77,77.0
2014,30,Entre Ríos,3,Muertes en Accidentes Viales,295,322.0
2014,30,Entre Ríos,10,Violaciones,39,41.0
2014,30,Entre Ríos,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6436,
2014,30,Entre Ríos,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2014,30,Entre Ríos,19,Hurtos,5249,
2014,30,Entre Ríos,31,Suicidios (consumados),168,
2014,34,Formosa,1,Homicidios dolosos,58,58.0
2014,34,Formosa,2,Homicidios dolosos en grado de tentativa,50,50.0
2014,34,Formosa,3,Muertes en Accidentes Viales,57,57.0
2014,34,Formosa,10,Violaciones,76,76.0
