provincia_nombre,poblacion
Ciudad Autónoma de Buenos Aires,3.075.646
Buenos Aires,17.541.141
Catamarca,415.438
Chaco,1.204.541
Chubut,618.994
Córdoba,3.760.450
Corrientes,1.120.801
Entre Ríos,1.385.961
Formosa,605.193
Jujuy,770.881
La Pampa,358.428
La Rioja,393.531
Mendoza,1.990.338
Misiones,1.261.294
Neuquén,664.057
Río Negro,747.610
Salta,1.424.397
San Juan,781.217
San Luis,508.328
Santa Cruz,365.698
Santa Fe,3.536.418
Santiago del Estero,978.313
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",173.432
Tucumán,1.694.656
